user_index,los,gt_aoa,music_aoa,abs_error,sq_error
9,0,40.37889862060547,34.49999999999758,5.878898620607892,34.56144899138537
10,0,40.45130157470703,34.99999999999757,5.451301574709461,29.71668885842985
11,0,40.52399826049805,34.49999999999758,6.02399826050047,36.288555042512684
12,0,40.5968017578125,42.99999999999748,2.4031982421849776,5.775361791240966
69,0,39.94179916381836,38.49999999999753,1.441799163820832,2.0787848287944506
70,0,40.0536994934082,38.99999999999752,1.053699493410683,1.1102826224139297
71,0,74.52880096435547,40.499999999997506,34.02880096435796,1157.9592950718895
124,0,-89.97949981689453,45.49999999999745,135.47949981689197,18354.69487063523
237,0,59.172401428222656,59.999999999997286,0.8275985717746295,0.6849193960034066
238,0,59.335899353027344,60.99999999999727,1.6641006469699278,2.7692309632457324
239,0,59.499900817871094,59.49999999999729,9.918212619908218e-05,9.837094157370662e-09
240,0,59.66450119018555,59.49999999999729,0.16450119018825404,0.02706064157335213
241,0,59.8297004699707,61.49999999999727,1.6702995300265684,2.789900520006975
242,0,59.995399475097656,60.49999999999728,0.5046005248996224,0.2546216897289744
243,0,60.161598205566406,59.999999999997286,0.16159820556912052,0.026113980043159735
244,0,60.328399658203125,61.49999999999727,1.1716003417941465,1.372647360892161
245,0,60.49580001831055,60.49999999999728,0.004199981686731746,1.7639846168882045e-05
246,0,60.663700103759766,60.99999999999727,0.3362998962375059,0.11309762020935724
247,0,60.83209991455078,61.49999999999727,0.6679000854464903,0.446090524139429
248,0,61.00120162963867,61.999999999997264,0.9987983703585925,0.9975981846309802
249,0,61.17070007324219,62.49999999999726,1.3292999267550698,1.767038295271034
250,0,61.34080123901367,61.999999999997264,0.6591987609835925,0.43454300648230354
256,0,64.70480346679688,62.49999999999726,2.2048034667996177,4.861158327211613
257,0,64.98680114746094,61.49999999999727,3.486801147463666,12.157782241953937
258,0,65.2782974243164,62.99999999999725,2.278297424319156,5.1906391536593
259,0,65.58039855957031,63.49999999999724,2.0803985595730694,4.328058166673702
260,0,65.89399719238281,63.49999999999724,2.3939971923855694,5.731222557149989
261,0,63.00550079345703,62.99999999999725,0.00550079345978105,3.025872868716998e-05
262,0,63.18339920043945,-1.5000000000020186,64.68339920044147,4183.942132123672
263,0,63.36180114746094,63.99999999999724,0.6381988525363056,0.40729777537865713
264,0,63.54079818725586,65.49999999999723,1.9592018127413695,3.8384717430490682
265,0,63.720401763916016,65.49999999999723,1.7795982360812133,3.166969881863366
